f	log10_fmin	log10_fmax	log10_A	spectrum
-10.0	-11.0	-7.0	-3.0	-6.085009085675836
-10.0	-11.0	-7.0	-2.428571428571429	-4.942151942818693
-10.0	-11.0	-7.0	-1.8571428571428572	-3.7992947999615496
-10.0	-11.0	-7.0	-1.2857142857142858	-2.656437657104407
-10.0	-11.0	-7.0	-0.7142857142857144	-1.513580514247264
-10.0	-11.0	-7.0	-0.14285714285714324	-0.3707233713901217
-10.0	-11.0	-7.0	0.4285714285714284	0.7721337714670216
-10.0	-11.0	-7.0	1.0	1.9149909143241648
-10.0	-11.0	-6.0	-3.0	-6.085009061046702
-10.0	-11.0	-6.0	-2.428571428571429	-4.94215191818956
-10.0	-11.0	-6.0	-1.8571428571428572	-3.7992947753324167
-10.0	-11.0	-6.0	-1.2857142857142858	-2.656437632475274
-10.0	-11.0	-6.0	-0.7142857142857144	-1.513580489618131
-10.0	-11.0	-6.0	-0.14285714285714324	-0.3707233467609889
-10.0	-11.0	-6.0	0.4285714285714284	0.7721337960961544
-10.0	-11.0	-6.0	1.0	1.9149909389532977
-10.0	-11.0	-5.0	-3.0	-6.085009061681165
-10.0	-11.0	-5.0	-2.428571428571429	-4.942151918824023
-10.0	-11.0	-5.0	-1.8571428571428572	-3.79929477596688
-10.0	-11.0	-5.0	-1.2857142857142858	-2.656437633109737
-10.0	-11.0	-5.0	-0.7142857142857144	-1.5135804902525942
-10.0	-11.0	-5.0	-0.14285714285714324	-0.3707233473954519
-10.0	-11.0	-5.0	0.4285714285714284	0.7721337954616914
-10.0	-11.0	-5.0	1.0	1.9149909383188346
-10.0	-10.0	-11.0	-3.0	-300
-10.0	-10.0	-11.0	-2.428571428571429	-300
-10.0	-10.0	-11.0	-1.8571428571428572	-300
-10.0	-10.0	-11.0	-1.2857142857142858	-300
-10.0	-10.0	-11.0	-0.7142857142857144	-300
-10.0	-10.0	-11.0	-0.14285714285714324	-300
-10.0	-10.0	-11.0	0.4285714285714284	-300
-10.0	-10.0	-11.0	1.0	-300
-10.0	-10.0	-10.0	-3.0	-300
-10.0	-10.0	-10.0	-2.428571428571429	-300
-10.0	-10.0	-10.0	-1.8571428571428572	-300
-10.0	-10.0	-10.0	-1.2857142857142858	-300
-10.0	-10.0	-10.0	-0.7142857142857144	-300
-10.0	-10.0	-10.0	-0.14285714285714324	-300
-10.0	-10.0	-10.0	0.4285714285714284	-300
-10.0	-10.0	-10.0	1.0	-300
-10.0	-10.0	-9.0	-3.0	-6.69404006021335
-10.0	-10.0	-9.0	-2.428571428571429	-5.551182917356208
