log10_A	width	log10_fpeak	f	spectrum
-3.0	1.0	-11.153846153846153	-10.0	-9.6755577213109
-3.0	1.0	-10.70940170940171	-9.555555555555555	-9.6755577213109
-3.0	1.0	-10.264957264957264	-9.11111111111111	-9.6755577213109
-3.0	1.0	-9.820512820512821	-8.666666666666666	-9.6755577213109
-3.0	1.0	-9.376068376068375	-8.222222222222221	-9.6755577213109
-3.0	1.0	-8.931623931623932	-7.777777777777778	-9.6755577213109
-3.0	1.0	-8.487179487179489	-7.333333333333334	-9.6755577213109
-3.0	1.0	-8.042735042735043	-6.888888888888889	-9.6755577213109
-3.0	1.0	-7.598290598290599	-6.444444444444445	-9.6755577213109
-3.0	1.0	-7.153846153846154	-6.0	-9.6755577213109
-3.0	1.0	-11.615384615384617	-10.0	-12.409405522241094
-3.0	1.0	-11.17094017094017	-9.555555555555555	-12.409405522241094
-3.0	1.0	-10.726495726495727	-9.11111111111111	-12.409405522241094
-3.0	1.0	-10.282051282051281	-8.666666666666666	-12.409405522241094
-3.0	1.0	-9.837606837606838	-8.222222222222221	-12.409405522241094
-3.0	1.0	-9.393162393162394	-7.777777777777778	-12.409405522241094
-3.0	1.0	-8.948717948717949	-7.333333333333334	-12.409405522241094
-3.0	1.0	-8.504273504273506	-6.888888888888889	-12.409405522241094
-3.0	1.0	-8.05982905982906	-6.444444444444445	-12.409405522241094
-3.0	1.0	-7.615384615384616	-6.0	-12.409405522241094
-3.0	1.0	-12.076923076923077	-10.0	-16.045044807939703
-3.0	1.0	-11.632478632478634	-9.555555555555555	-16.045044807939703
-3.0	1.0	-11.188034188034187	-9.11111111111111	-16.045044807939703
-3.0	1.0	-10.743589743589745	-8.666666666666666	-16.045044807939703
-3.0	1.0	-10.299145299145298	-8.222222222222221	-16.045044807939703
-3.0	1.0	-9.854700854700855	-7.777777777777778	-16.045044807939703
-3.0	1.0	-9.410256410256412	-7.333333333333334	-16.045044807939703
-3.0	1.0	-8.965811965811966	-6.888888888888889	-16.045044807939703
-3.0	1.0	-8.521367521367523	-6.444444444444445	-16.045044807939703
-3.0	1.0	-8.076923076923077	-6.0	-16.045044807939703
-3.0	1.0	-12.538461538461538	-10.0	-20.45419104547096
-3.0	1.0	-12.094017094017094	-9.555555555555555	-20.45419104547096
-3.0	1.0	-11.649572649572649	-9.11111111111111	-20.45419104547096
-3.0	1.0	-11.205128205128204	-8.666666666666666	-20.45419104547096
-3.0	1.0	-10.76068376068376	-8.222222222222221	-20.45419104547096
-3.0	1.0	-10.316239316239315	-7.777777777777778	-20.45419104547096
-3.0	1.0	-9.871794871794872	-7.333333333333334	-20.45419104547096
-3.0	1.0	-9.427350427350428	-6.888888888888889	-20.45419104547096
-3.0	1.0	-8.982905982905983	-6.444444444444445	-20.45419104547096
-3.0	1.0	-8.538461538461538	-6.0	-20.45419104547096
-3.0	1.0	-13.0	-10.0	-25.384038712662772
-3.0	1.0	-12.555555555555555	-9.555555555555555	-25.384038712662772
-3.0	1.0	-12.11111111111111	-9.11111111111111	-25.384038712662772
-3.0	1.0	-11.666666666666666	-8.666666666666666	-25.384038712662772
-3.0	1.0	-11.222222222222221	-8.222222222222221	-25.384038712662772
-3.0	1.0	-10.777777777777779	-7.777777777777778	-25.384038712662772
-3.0	1.0	-10.333333333333334	-7.333333333333334	-25.384038712662772
-3.0	1.0	-9.88888888888889	-6.888888888888889	-25.384038712662772
-3.0	1.0	-9.444444444444445	-6.444444444444445	-25.384038712662772
-3.0	1.0	-9.0	-6.0	-25.384038712662772
-3.0	1.5	-7.0	-10.0	-11.996238191668404
-3.0	1.5	-6.555555555555555	-9.555555555555555	-11.996238191668404
-3.0	1.5	-6.111111111111111	-9.11111111111111	-11.996238191668404
-3.0	1.5	-5.666666666666666	-8.666666666666666	-11.996238191668404
-3.0	1.5	-5.222222222222221	-8.222222222222221	-11.996238191668404
-3.0	1.5	-4.777777777777778	-7.777777777777778	-11.996238191668404
-3.0	1.5	-4.333333333333334	-7.333333333333334	-11.996238191668404
-3.0	1.5	-3.8888888888888893	-6.888888888888889	-11.996238191668404
-3.0	1.5	-3.4444444444444446	-6.444444444444445	-11.996238191668404
-3.0	1.5	-3.0	-6.0	-11.996238191668404
-3.0	1.5	-7.461538461538462	-10.0	-10.877269498865303
-3.0	1.5	-7.017094017094017	-9.555555555555555	-10.877269498865303
-3.0	1.5	-6.572649572649572	-9.11111111111111	-10.877269498865303
-3.0	1.5	-6.128205128205128	-8.666666666666666	-10.877269498865303
-3.0	1.5	-5.683760683760683	-8.222222222222221	-10.877269498865303
-3.0	1.5	-5.239316239316239	-7.777777777777778	-10.877269498865303
-3.0	1.5	-4.794871794871796	-7.333333333333334	-10.877269498865303
-3.0	1.5	-4.350427350427351	-6.888888888888889	-10.877269498865303
-3.0	1.5	-3.9059829059829063	-6.444444444444445	-10.877269498865303
-3.0	1.5	-3.4615384615384617	-6.0	-10.877269498865303
-3.0	1.5	-7.923076923076923	-10.0	-9.84562916322172
