width	log10_fpeak	f	spectrum
0.1	-10.3	-6.1	-25.0
0.1	-10.3	-6.0	-25.0
0.1	-10.3	-5.9	-25.0
0.1	-10.3	-5.8	-25.0
0.1	-10.3	-5.7	-25.0
0.1	-10.3	-5.6	-25.0
0.1	-10.3	-5.5	-25.0
0.1	-10.3	-5.4	-25.0
0.1	-10.3	-5.3	-25.0
0.1	-10.3	-5.2	-25.0
0.1	-10.3	-5.1	-25.0
0.1	-10.3	-5.0	-25.0
0.1	-10.2	-11.0	-1.0162207652337438
0.1	-10.2	-10.9	-0.8379798422688243
0.1	-10.2	-10.8	-0.6852598303416392
0.1	-10.2	-10.7	-0.5697002364917587
0.1	-10.2	-10.6	-0.5107261116619642
0.1	-10.2	-10.5	-0.5478977996625899
0.1	-10.2	-10.4	-0.7938331785487622
0.1	-10.2	-10.3	-1.5707099599350671
0.1	-10.2	-10.2	-0.13795336856965892
0.1	-10.2	-10.1	-0.0769944965872408
0.1	-10.2	-10.0	-1.6260225503054202
0.1	-10.2	-9.9	-3.1368521000670926
0.1	-10.2	-9.8	-6.92141309679794
0.1	-10.2	-9.7	-14.50213427718089
0.1	-10.2	-9.6	-25.0
0.1	-10.2	-9.5	-25.0
0.1	-10.2	-9.4	-25.0
0.1	-10.2	-9.3	-25.0
0.1	-10.2	-9.2	-25.0
0.1	-10.2	-9.1	-25.0
0.1	-10.2	-9.0	-25.0
0.1	-10.2	-8.9	-25.0
0.1	-10.2	-8.8	-25.0
0.1	-10.2	-8.7	-25.0
0.1	-10.2	-8.6	-25.0
0.1	-10.2	-8.5	-25.0
0.1	-10.2	-8.4	-25.0
0.1	-10.2	-8.3	-25.0
0.1	-10.2	-8.2	-25.0
0.1	-10.2	-8.1	-25.0
0.1	-10.2	-8.0	-25.0
0.1	-10.2	-7.9	-25.0
0.1	-10.2	-7.8	-25.0
0.1	-10.2	-7.7	-25.0
0.1	-10.2	-7.6	-25.0
0.1	-10.2	-7.5	-25.0
0.1	-10.2	-7.4	-25.0
0.1	-10.2	-7.3	-25.0
0.1	-10.2	-7.2	-25.0
0.1	-10.2	-7.1	-25.0
0.1	-10.2	-7.0	-25.0
0.1	-10.2	-6.9	-25.0
0.1	-10.2	-6.8	-25.0
0.1	-10.2	-6.7	-25.0
0.1	-10.2	-6.6	-25.0
0.1	-10.2	-6.5	-25.0
0.1	-10.2	-6.4	-25.0
0.1	-10.2	-6.3	-25.0
0.1	-10.2	-6.2	-25.0
0.1	-10.2	-6.1	-25.0
0.1	-10.2	-6.0	-25.0
0.1	-10.2	-5.9	-25.0
0.1	-10.2	-5.8	-25.0
0.1	-10.2	-5.7	-25.0
0.1	-10.2	-5.6	-25.0
0.1	-10.2	-5.5	-25.0
0.1	-10.2	-5.4	-25.0
0.1	-10.2	-5.3	-25.0
0.1	-10.2	-5.2	-25.0
0.1	-10.2	-5.1	-25.0
0.1	-10.2	-5.0	-25.0
0.1	-10.1	-11.0	-1.2123760871551696
0.1	-10.1	-10.9	-1.0162207652337438
0.1	-10.1	-10.8	-0.8379798422688243
0.1	-10.1	-10.7	-0.6852598303416366
0.1	-10.1	-10.6	-0.5697002364917587
0.1	-10.1	-10.5	-0.5107261116619642
0.1	-10.1	-10.4	-0.5478977996625899
0.1	-10.1	-10.3	-0.7938331785487622
0.1	-10.1	-10.2	-1.5707099599350773
0.1	-10.1	-10.1	-0.13795336856965892
0.1	-10.1	-10.0	-0.0769944965872408
0.1	-10.1	-9.9	-1.6260225503054202
0.1	-10.1	-9.8	-3.1368521000670926
0.1	-10.1	-9.7	-6.921413096798043
0.1	-10.1	-9.6	-14.50213427718089
0.1	-10.1	-9.5	-25.0
0.1	-10.1	-9.4	-25.0
0.1	-10.1	-9.3	-25.0
0.1	-10.1	-9.2	-25.0
0.1	-10.1	-9.1	-25.0
0.1	-10.1	-9.0	-25.0
0.1	-10.1	-8.9	-25.0
0.1	-10.1	-8.8	-25.0
0.1	-10.1	-8.7	-25.0
0.1	-10.1	-8.6	-25.0
0.1	-10.1	-8.5	-25.0
0.1	-10.1	-8.4	-25.0
0.1	-10.1	-8.3	-25.0
0.1	-10.1	-8.2	-25.0
0.1	-10.1	-8.1	-25.0
0.1	-10.1	-8.0	-25.0
0.1	-10.1	-7.9	-25.0
0.1	-10.1	-7.8	-25.0
