log10_A	width	log10_fpeak	f	spectrum
-1.7	1.5	-6.5	-9.0	-8.187365364035013
-1.7	1.5	-6.5	-8.0	-6.144960623051463
-1.7	1.5	-6.5	-7.0	-4.88419644598987
-1.7	1.5	-5.0	-10.0	-15.693779614417364
-1.7	1.5	-5.0	-9.0	-11.908735904944217
-1.7	1.5	-5.0	-8.0	-9.396238191668404
-1.7	1.5	-5.0	-7.0	-7.085311314430946
-1.7	2.0	-11.0	-10.0	-5.481565699623558
-1.7	2.0	-11.0	-9.0	-7.1465657923867925
-1.7	2.0	-11.0	-8.0	-9.90375016670903
-1.7	2.0	-11.0	-7.0	-13.835942428008371
-1.7	2.0	-9.5	-10.0	-5.031629117222348
-1.7	2.0	-9.5	-9.0	-5.067319052702537
-1.7	2.0	-9.5	-8.0	-6.172903456155692
-1.7	2.0	-9.5	-7.0	-8.364645553029671
-1.7	2.0	-8.0	-10.0	-6.636695410536697
-1.7	2.0	-8.0	-9.0	-5.3732615802617225
-1.7	2.0	-8.0	-8.0	-4.921915777104443
-1.7	2.0	-8.0	-7.0	-5.481565699623558
-1.7	2.0	-6.5	-10.0	-9.640706477980958
-1.7	2.0	-6.5	-9.0	-7.506031898001311
-1.7	2.0	-6.5	-8.0	-5.917777006973109
-1.7	2.0	-6.5	-7.0	-5.031629117222348
-1.7	2.0	-5.0	-10.0	-13.428200994455171
-1.7	2.0	-5.0	-9.0	-10.837084673388485
-1.7	2.0	-5.0	-8.0	-8.517634953561263
-1.7	2.0	-5.0	-7.0	-6.6366954105366975
-1.7	2.5	-11.0	-10.0	-5.475156471538487
-1.7	2.5	-11.0	-9.0	-6.554350374930117
-1.7	2.5	-11.0	-8.0	-8.318031955988811
-1.7	2.5	-11.0	-7.0	-10.845134117258274
-1.7	2.5	-9.5	-10.0	-5.174657155126495
-1.7	2.5	-9.5	-9.0	-5.202933975210573
-1.7	2.5	-9.5	-8.0	-5.924999231923377
-1.7	2.5	-9.5	-7.0	-7.368972082371856
-1.7	2.5	-8.0	-10.0	-6.322995183158346
-1.7	2.5	-8.0	-9.0	-5.40722905115576
-1.7	2.5	-8.0	-8.0	-5.104296831277434
-1.7	2.5	-8.0	-7.0	-5.475156471538487
-1.7	2.5	-6.5	-10.0	-8.671566776346811
-1.7	2.5	-6.5	-9.0	-6.989580596728224
-1.7	2.5	-6.5	-8.0	-5.793770402654781
-1.7	2.5	-6.5	-7.0	-5.174657155126495
-1.7	2.5	-5.0	-10.0	-11.94537788293941
-1.7	2.5	-5.0	-9.0	-9.678952809230854
-1.7	2.5	-5.0	-8.0	-7.767856967785875
-1.7	2.5	-5.0	-7.0	-6.322995183158346
-0.2999999999999998	0.5	-11.0	-10.0	-8.22786607097454
-0.2999999999999998	0.5	-11.0	-9.0	-26.358961499306936
-0.2999999999999998	0.5	-11.0	-8.0	-53.43978561274571
-0.2999999999999998	0.5	-11.0	-7.0	-93.32873645293014
-0.2999999999999998	0.5	-9.5	-10.0	-1.7642767978802218
-0.2999999999999998	0.5	-9.5	-9.0	-2.7692193403296184
-0.2999999999999998	0.5	-9.5	-8.0	-16.261121381350947
-0.2999999999999998	0.5	-9.5	-7.0	-38.996664747253874
-0.2999999999999998	0.5	-8.0	-10.0	-4.949173456946229
-0.2999999999999998	0.5	-8.0	-9.0	-2.592036689769231
-0.2999999999999998	0.5	-8.0	-8.0	-1.1234023745304957
-0.2999999999999998	0.5	-8.0	-7.0	-8.227866070974539
-0.2999999999999998	0.5	-6.5	-10.0	-12.735654238374666
-0.2999999999999998	0.5	-6.5	-9.0	-6.231831022307017
-0.2999999999999998	0.5	-6.5	-8.0	-3.7231355154070136
-0.2999999999999998	0.5	-6.5	-7.0	-1.7642767978802218
-0.2999999999999998	0.5	-5.0	-10.0	-56.4081455928444
-0.2999999999999998	0.5	-5.0	-9.0	-22.68798727355983
-0.2999999999999998	0.5	-5.0	-8.0	-8.338193451803024
-0.2999999999999998	0.5	-5.0	-7.0	-4.949173456946229
-0.2999999999999998	1.0	-11.0	-10.0	-3.607348388543352
-0.2999999999999998	1.0	-11.0	-9.0	-9.980181928201667
-0.2999999999999998	1.0	-11.0	-8.0	-19.984038712662773
-0.2999999999999998	1.0	-11.0	-7.0	-32.24743690512375
-0.2999999999999998	1.0	-9.5	-10.0	-1.9670831137317872
-0.2999999999999998	1.0	-9.5	-9.0	-2.053477404270152
-0.2999999999999998	1.0	-9.5	-8.0	-6.271216631913082
-0.2999999999999998	1.0	-9.5	-7.0	-14.663145277618325
-0.2999999999999998	1.0	-8.0	-10.0	-4.765798118486535
-0.2999999999999998	1.0	-8.0	-9.0	-2.656998314447865
-0.2999999999999998	1.0	-8.0	-8.0	-1.5864269614532576
-0.2999999999999998	1.0	-8.0	-7.0	-3.6073483885433517
-0.2999999999999998	1.0	-6.5	-10.0	-8.571630565286611
-0.2999999999999998	1.0	-6.5	-9.0	-6.000904541432645
-0.2999999999999998	1.0	-6.5	-8.0	-3.6171137010067897
-0.2999999999999998	1.0	-6.5	-7.0	-1.9670831137317872
-0.2999999999999998	1.0	-5.0	-10.0	-19.490653197830447
-0.2999999999999998	1.0	-5.0	-9.0	-11.060590999598979
-0.2999999999999998	1.0	-5.0	-8.0	-7.288152605983815
-0.2999999999999998	1.0	-5.0	-7.0	-4.7657981184865355
-0.2999999999999998	1.5	-11.0	-10.0	-2.841896567820726
-0.2999999999999998	1.5	-11.0	-9.0	-5.76020613632241
-0.2999999999999998	1.5	-11.0	-8.0	-10.651630491107408
-0.2999999999999998	1.5	-11.0	-7.0	-17.54271014418584
-0.2999999999999998	1.5	-9.5	-10.0	-2.0840256890023103
-0.2999999999999998	1.5	-9.5	-9.0	-2.1290290096670037
-0.2999999999999998	1.5	-9.5	-8.0	-4.050291817111441
-0.2999999999999998	1.5	-9.5	-7.0	-7.999716417830043
-0.2999999999999998	1.5	-8.0	-10.0	-4.285514265683717
-0.2999999999999998	1.5	-8.0	-9.0	-2.600599395220096
-0.2999999999999998	1.5	-8.0	-8.0	-1.893200109007549
-0.2999999999999998	1.5	-8.0	-7.0	-2.8418965678207257
-0.2999999999999998	1.5	-6.5	-10.0	-7.856848283075902
-0.2999999999999998	1.5	-6.5	-9.0	-5.38703259975609
-0.2999999999999998	1.5	-6.5	-8.0	-3.3448353111581928
-0.2999999999999998	1.5	-6.5	-7.0	-2.0840256890023103
-0.2999999999999998	1.5	-5.0	-10.0	-12.893779614417365
-0.2999999999999998	1.5	-5.0	-9.0	-9.108735904944217
-0.2999999999999998	1.5	-5.0	-8.0	-6.590870574731966
-0.2999999999999998	1.5	-5.0	-7.0	-4.285514265683717
-0.2999999999999998	2.0	-11.0	-10.0	-2.681217444512984
-0.2999999999999998	2.0	-11.0	-9.0	-4.343875424537763
-0.2999999999999998	2.0	-11.0	-8.0	-7.145828435730046
-0.2999999999999998	2.0	-11.0	-7.0	-11.03594242800837
-0.2999999999999998	2.0	-9.5	-10.0	-2.2313978183192504
-0.2999999999999998	2.0	-9.5	-9.0	-2.267072231674205
-0.2999999999999998	2.0	-9.5	-8.0	-3.372091088529237
-0.2999999999999998	2.0	-9.5	-7.0	-5.599076847762499
-0.2999999999999998	2.0	-8.0	-10.0	-3.835250419876799
-0.2999999999999998	2.0	-8.0	-9.0	-2.573119950882778
-0.2999999999999998	2.0	-8.0	-8.0	-2.1218170592976637
-0.2999999999999998	2.0	-8.0	-7.0	-2.6812174445129835
-0.2999999999999998	2.0	-6.5	-10.0	-6.840540352555172
-0.2999999999999998	2.0	-6.5	-9.0	-4.707853482662882
-0.2999999999999998	2.0	-6.5	-8.0	-3.117165807766907
-0.2999999999999998	2.0	-6.5	-7.0	-2.2313978183192504
-0.2999999999999998	2.0	-5.0	-10.0	-10.62820099445517
-0.2999999999999998	2.0	-5.0	-9.0	-8.037084673388486
-0.2999999999999998	2.0	-5.0	-8.0	-5.717956071140178
-0.2999999999999998	2.0	-5.0	-7.0	-3.8352504198767994
-0.2999999999999998	2.5	-11.0	-10.0	-2.6749737123020334
-0.2999999999999998	2.5	-11.0	-9.0	-3.752581577892041
-0.2999999999999998	2.5	-11.0	-8.0	-5.552556163870427
-0.2999999999999998	2.5	-11.0	-7.0	-8.08583353342401
-0.2999999999999998	2.5	-9.5	-10.0	-2.374405079324745
-0.2999999999999998	2.5	-9.5	-9.0	-2.4026693326923914
-0.2999999999999998	2.5	-9.5	-8.0	-3.124224197356235
-0.2999999999999998	2.5	-9.5	-7.0	-4.561494039138876
-0.2999999999999998	2.5	-8.0	-10.0	-3.523015367200627
-0.2999999999999998	2.5	-8.0	-9.0	-2.607033460610461
-0.2999999999999998	2.5	-8.0	-8.0	-2.304064443129442
-0.2999999999999998	2.5	-8.0	-7.0	-2.674973712302033
-0.2999999999999998	2.5	-6.5	-10.0	-5.873836951767417
-0.2999999999999998	2.5	-6.5	-9.0	-4.185870000983405
-0.2999999999999998	2.5	-6.5	-8.0	-2.993281818708779
-0.2999999999999998	2.5	-6.5	-7.0	-2.374405079324745
-0.2999999999999998	2.5	-5.0	-10.0	-9.145377882939409
-0.2999999999999998	2.5	-5.0	-9.0	-6.87932753136611
-0.2999999999999998	2.5	-5.0	-8.0	-4.972425798737273
-0.2999999999999998	2.5	-5.0	-7.0	-3.523015367200627
1.1	0.5	-11.0	-10.0	-5.432348697525982
1.1	0.5	-11.0	-9.0	-23.55896149930694
1.1	0.5	-11.0	-8.0	-50.639785612745705
1.1	0.5	-11.0	-7.0	-90.52873645293015
1.1	0.5	-9.5	-10.0	1.0357232212528276
1.1	0.5	-9.5	-9.0	0.030780806606586164
1.1	0.5	-9.5	-8.0	-13.461121381350948
1.1	0.5	-9.5	-7.0	-36.19666474725388
1.1	0.5	-8.0	-10.0	-2.1491734569462295
1.1	0.5	-8.0	-9.0	0.20796331024115122
1.1	0.5	-8.0	-8.0	1.6765976500377962
1.1	0.5	-8.0	-7.0	-5.432348697525981
1.1	0.5	-6.5	-10.0	-9.935654238374667
1.1	0.5	-6.5	-9.0	-3.4318310220742534
1.1	0.5	-6.5	-8.0	-0.923135515407014
1.1	0.5	-6.5	-7.0	1.0357232212528276
1.1	0.5	-5.0	-10.0	-53.608145592844394
1.1	0.5	-5.0	-9.0	-19.887987273559833
1.1	0.5	-5.0	-8.0	-4.753775272513713
1.1	0.5	-5.0	-7.0	-2.1491734569462295
1.1	1.0	-11.0	-10.0	-0.8073439012908901
1.1	1.0	-11.0	-9.0	-7.210490689928759
1.1	1.0	-11.0	-8.0	-17.184038712662772
1.1	1.0	-11.0	-7.0	-29.447436905123748
1.1	1.0	-9.5	-10.0	0.8329169411631301
1.1	1.0	-9.5	-9.0	0.746522763866927
1.1	1.0	-9.5	-8.0	-3.469835465511367
1.1	1.0	-9.5	-7.0	-11.863145277618326
1.1	1.0	-8.0	-10.0	-1.9657981185890416
1.1	1.0	-8.0	-9.0	0.14300193922953136
1.1	1.0	-8.0	-8.0	1.2135730814577825
1.1	1.0	-8.0	-7.0	-0.8073439012908896
1.1	1.0	-6.5	-10.0	-5.813659902215048
1.1	1.0	-6.5	-9.0	-3.2009043099818024
1.1	1.0	-6.5	-8.0	-0.8171123504562899
1.1	1.0	-6.5	-7.0	0.8329169411631301
1.1	1.0	-5.0	-10.0	-16.690653197830446
1.1	1.0	-5.0	-9.0	-8.26059099959898
1.1	1.0	-5.0	-8.0	-4.488709732442948
1.1	1.0	-5.0	-7.0	-1.9657981185890419
1.1	1.5	-11.0	-10.0	-0.04189638060263432
1.1	1.5	-11.0	-9.0	-2.959962221884951
1.1	1.5	-11.0	-8.0	-7.913912281700833
1.1	1.5	-11.0	-7.0	-14.742710144185839
1.1	1.5	-9.5	-10.0	0.7159744032000467
1.1	1.5	-9.5	-9.0	0.6709711386377714
