# Frequencies [Hz],h_c [strain], S_eff [strain^2/Hz], Omega_GW [H0=67.4 km/s/Mpc]
1.551179664677800419e-07,2.320957231692440204e-13,3.472739228092156227e-19,1.787509113251252836e-03
1.587433523443511999e-07,2.402173531432484071e-13,3.635073588843829490e-19,2.005347465292387724e-03
1.624534700095944115e-07,2.472197637923031451e-13,3.762161042538062224e-19,2.224406434209370235e-03
1.662502997978126526e-07,2.569147269212888990e-13,3.970229045560426105e-19,2.515895842067579491e-03
1.701358683272834259e-07,3.067003793266386842e-13,5.528823733873378685e-19,3.755002010283539551e-03
1.741122495819971529e-07,2.818982736519076516e-13,4.564103724965167665e-19,3.322257341165366692e-03
1.781815660186828875e-07,2.853922500260297290e-13,4.571109020692954494e-19,3.566150584470440497e-03
1.823459896996984716e-07,2.938100070042407821e-13,4.734094802852402763e-19,3.958360858863162191e-03
1.866077434524072255e-07,3.049660624911218549e-13,4.983946408154216278e-19,4.466343604167825367e-03
1.909691020556460879e-07,3.158443196941343931e-13,5.223757833556886740e-19,5.017208359703952819e-03
1.954323934539236549e-07,3.270682217261356335e-13,5.473689380379890962e-19,5.634554510919725749e-03
2.000000000000000174e-07,3.432815775227290383e-13,5.892112073324671159e-19,6.500559976826028423e-03
