# Frequencies [Hz],h_c [strain], S_eff [strain^2/Hz], Omega_GW [H0=67.4 km/s/Mpc]
5.157048705768553579e-10,5.299790123270653974e-14,5.446482465697647270e-18,1.030171647207563859e-09
5.277578209657859463e-10,5.126212257593645161e-14,4.979187624697829034e-18,1.009374454020975800e-09
5.400924704841364924e-10,4.958634037198387885e-14,4.552563284731920729e-18,9.891226423503925237e-10
5.527154029472326441e-10,4.796852527751798184e-14,4.163045583731551006e-18,9.694058868018074481e-10
5.656333560460059644e-10,4.640671746575710266e-14,3.807384064124115958e-18,9.502141835078049488e-10
5.788532249433504489e-10,4.489902427603911879e-14,3.482614061859357923e-18,9.315378475043932051e-10
5.923820659545120110e-10,4.344361794429759831e-14,3.186031530257404307e-18,9.133675104893052423e-10
6.062271003135152974e-10,4.203873341169779514e-14,2.915170083861058488e-18,8.956941189766964005e-10
6.203957180276200982e-10,4.068266620881505001e-14,2.667780066438462774e-18,8.785089328660321255e-10
6.348954818218374605e-10,3.937377041280907211e-14,2.441809464562606646e-18,8.618035244439685186e-10
6.497341311756750951e-10,3.811045667512599551e-14,2.235386503951342748e-18,8.455697778398220274e-10
6.649195864541891286e-10,3.689119031737124545e-14,2.046803780123375756e-18,8.297998889580823644e-10
6.804599531356129144e-10,3.571448949303396964e-14,1.874503788019141332e-18,8.144863659122203487e-10
6.963635261377933940e-10,3.457892341285442614e-14,1.717065727183780525e-18,7.996220299876366704e-10
7.126387942457183397e-10,3.348311063167614933e-14,1.573193469995827936e-18,7.852000171631675702e-10
7.292944446425491202e-10,3.242571739469707025e-14,1.441704590353898166e-18,7.712137802235937983e-10
7.463393675465511962e-10,3.140545604110580594e-14,1.321520359286569012e-18,7.576570914986034368e-10
7.637826609563693531e-10,3.042108346313801479e-14,1.211656622202470682e-18,7.445240462661441222e-10
7.816336355072529795e-10,2.947139961865327252e-14,1.111215480023053270e-18,7.318090668619628283e-10
7.999018194407340264e-10,2.855524609538418021e-14,1.019377703301208407e-18,7.195069075401577127e-10
8.185969636904869295e-10,2.767150472505477538e-14,9.353958146835320013e-19,7.076126601333947229e-10
8.377290470870542820e-10,2.681909624561388265e-14,8.585877807777111756e-19,6.961217605652843260e-10
8.573082816841868760e-10,2.599697900986988452e-14,7.883312596863268872e-19,6.850299962715652396e-10
8.773451182096989311e-10,2.520414773884113844e-14,7.240583552087385461e-19,6.743335145907802375e-10
8.978502516437216491e-10,2.443963231817528059e-14,6.652508330360329476e-19,6.640288321898940740e-10
9.188346269272972708e-10,2.370249663600893289e-14,6.114357582046892596e-19,6.541128455946026384e-10
9.403094448044261117e-10,2.299183746065758396e-14,5.621815166678937394e-19,6.445828428989517505e-10
9.622861678006529918e-10,2.230678335653581214e-14,5.170941871197136476e-19,6.354365167334256455e-10
9.847765263413464795e-10,2.164649363671391605e-14,4.758142321945217837e-19,6.266719785755189864e-10
1.007792525013030235e-09,2.101015735050662727e-14,4.380134808871897302e-19,6.182877744912423121e-10
1.031346448970994831e-09,2.039699230447727683e-14,4.033923765229405845e-19,6.102829024001143641e-10
1.055450870496706508e-09,1.980624411521548663e-14,3.716774668695791896e-19,6.026568309602695352e-10
1.080118655708474915e-09,1.923718529220591282e-14,3.426191150489169665e-19,5.954095201730091125e-10
1.105362971428923067e-09,1.868911434906104460e-14,3.159894117863880583e-19,5.885414438085867849e-10
1.131197292213000657e-09,1.816135494131762872e-14,2.915802712533504599e-19,5.820536137553919408e-10
1.157635407540256202e-09,1.765325502892396388e-14,2.692016943213549494e-19,5.759476063940749312e-10
1.184691429175158997e-09,1.716418606144036542e-14,2.486801844737454660e-19,5.702255910944388479e-10
1.212379798699514544e-09,1.669354218385833988e-14,2.298573029204082468e-19,5.648903609268571703e-10
1.240715295220856460e-09,1.624073946080409361e-14,2.125883506471706392e-19,5.599453656695556041e-10
1.269713043261042157e-09,1.580521511672749669e-14,1.967411662122097871e-19,5.553947471783218528e-10
1.299388520829225218e-09,1.538642678948630247e-14,1.821950290873287285e-19,5.512433771638585651e-10
1.329757567683455567e-09,1.498385179452376899e-14,1.688396592405770024e-19,5.474968973938120382e-10
1.360836393785418856e-09,1.459698639658436365e-14,1.565743044756244869e-19,5.441617622983222556e-10
1.392641587952778143e-09,1.422534508564464846e-14,1.453069077903596197e-19,5.412452839092920042e-10
1.425190126713679335e-09,1.386845985342775818e-14,1.349533476979927129e-19,5.387556790006097898e-10
1.458499383368288975e-09,1.352587946653621954e-14,1.254367450747623381e-19,5.367021182175209586e-10
1.492587137262029267e-09,1.319716873188293216e-14,1.166868306645558292e-19,5.350947768846201132e-10
1.527471583275602456e-09,1.288190774971719013e-14,1.086393678868738209e-19,5.339448870598940320e-10
1.563171341536818305e-09,1.257969114915605816e-14,1.012356260655178679e-19,5.332647902532329836e-10
1.599705467359345147e-09,1.229012730074195650e-14,9.442189962492184212e-20,5.330679900472187171e-10
1.637093461413804371e-09,1.201283750017809268e-14,8.814906919306825193e-20,5.333692036416256749e-10
1.675355280136585053e-09,1.174745511707363161e-14,8.237220090798211034e-20,5.341844110865240783e-10
1.714511346381861670e-09,1.149362470228921827e-14,7.705018055194042936e-20,5.355309006680470768e-10
1.754582560322671559e-09,1.125100104736108575e-14,7.214537943682797813e-20,5.374273085631733016e-10
1.795590310606666602e-09,1.101924818955983737e-14,6.762334923833094849e-20,5.398936504835846848e-10
1.837556485772664413e-09,1.079803835648356114e-14,6.345254322838553490e-20,5.429513425860844853e-10
1.880503485934026689e-09,1.058705084479279048e-14,5.960406158702543575e-20,5.466232084433606000e-10
1.924454234735031151e-09,1.038597082888857237e-14,5.605141868877763425e-20,5.509334683569020061e-10
1.969432191586753196e-09,1.019448809715551121e-14,5.277033045718213451e-20,5.559077067740585082e-10
2.015461364188923940e-09,1.001229571601185196e-14,4.973852006595571447e-20,5.615728130760451898e-10
2.062566321344374037e-09,9.839088625623635323e-15,4.693554043865968178e-20,5.679568905815506452e-10
